date,shipments
2000/1/1,13577 
2000/2/1,11368 
2000/3/1,14987 
2000/4/1,15993 
2000/5/1,15566 
2000/6/1,21774 
2000/7/1,23086 
2000/8/1,17355 
2000/9/1,16865 
2000/10/1,13550 
2000/11/1,15974 
2000/12/1,18976 
2001/1/1,12031 
2001/2/1,9208 
2001/3/1,13867 
2001/4/1,14398 
2001/5/1,14274 
2001/6/1,19856 
2001/7/1,19643 
2001/8/1,16923 
2001/9/1,13167 
2001/10/1,12577 
2001/11/1,14576 
2001/12/1,18005 
2002/1/1,10310 
2002/2/1,8420 
2002/3/1,11898 
2002/4/1,13983 
2002/5/1,13391 
2002/6/1,17680 
2002/7/1,17960 
2002/8/1,15567 
2002/9/1,11842 
2002/10/1,12138 
2002/11/1,13079 
2002/12/1,16889 
2003/1/1,9463 
2003/2/1,7753 
2003/3/1,10922 
2003/4/1,11498 
2003/5/1,12316 
2003/6/1,16865 
2003/7/1,14737 
2003/8/1,14538 
2003/9/1,12016 
2003/10/1,11170 
2003/11/1,11713 
2003/12/1,17159 
2004/1/1,7665 
2004/2/1,8099 
2004/3/1,11253 
2004/4/1,12165 
2004/5/1,11188 
2004/6/1,16075 
2004/7/1,17339 
2004/8/1,14007 
2004/9/1,11355 
2004/10/1,10697 
2004/11/1,12206 
2004/12/1,18546 
2005/1/1,5920 
2005/2/1,7123 
2005/3/1,10778 
2005/4/1,11668 
2005/5/1,10617 
2005/6/1,15794 
2005/7/1,14140 
2005/8/1,14709 
2005/9/1,11257 
2005/10/1,11517 
2005/11/1,10492 
2005/12/1,15263 
2006/1/1,6651 
2006/2/1,8465 
2006/3/1,10427 
2006/4/1,10343 
2006/5/1,11108 
2006/6/1,15777 
2006/7/1,13164 
2006/8/1,14742 
2006/9/1,10617 
2006/10/1,9761 
2006/11/1,11011 
2006/12/1,15509 
2007/1/1,6698 
2007/2/1,7683 
2007/3/1,10231 
2007/4/1,10685 
2007/5/1,10598 
2007/6/1,12998 
2007/7/1,14259 
2007/8/1,14725 
2007/9/1,10155 
2007/10/1,9990 
2007/11/1,10735 
2007/12/1,16526 
2008/1/1,6105 
2008/2/1,12438 
2008/3/1,5462 
2008/4/1,9971 
2008/5/1,10300 
2008/6/1,11980 
2008/7/1,14934 
2008/8/1,12765 
2008/9/1,9522 
2008/10/1,9711 
2008/11/1,9906 
2008/12/1,16177 
2009/1/1,5107 
2009/2/1,7267 
2009/3/1,8706 
2009/4/1,10170 
2009/5/1,9760 
2009/6/1,12001 
2009/7/1,12980 
2009/8/1,11939 
2009/9/1,9175 
2009/10/1,9177 
2009/11/1,9066 
2009/12/1,15626 
